whiskyID,rev_ID,date,rating,text
6,6-14,29.03.2019,5.0,"Aroma: Rauch Rauch Schinken LagerfeuerGetrocknete Früchte Rosine Jod Maritime Noten Braucht viel Zeit zur Öffnung, muss auch in der angebrochenen Flasche noch atmen, im seine ganze Komplexität zu entwickeln. Kräftiger phenolischer Rauch mit Jodtönen, aber kein reiner ""Stinker"". Sherry diskret im Hintergrund. Je länger man riecht, umso mehr ist zu finden. Sehr viele, nicht im Detail zu identifizierende Noten.  Geschmack: :Eiche Beeren Nüsse Rauch Schinken Schinken Sherry Kuchen Maritime Noten Dunkle Schokolade Tabak Kaffee Mundfüllend, ölig, kräftig, aromenreich mit viel Komplexität. Der Rauch und Schwarzwälder Schinken sind zwar stark, aber sehr gut eingebunden in eine nicht aufdringliche Süsse wie von Bitterschokolade.  Abgang: Eiche Gewürze Nüsse Rauch Schinken Sherry Herb Lang, komplex, sehr süffig  Kommentar: Knappe 5 Sterne. A very good stuff, auf meiner noch jungen Reise durch sie Welt der Single Malts einer der Besten. Sehr kräftig, lebhaft und komplex. Faszinierend ist das maritime Schinken-Räucheraroma, das selbst im leeren Glas lange verbleibt. Großartiges PLV. Die 95 Punkte (""gives us all reason to live"")und der Kommentar bei Murray wie auch die Anmerkungen der Lünings treffen es auf den Punkt. Verkostung bei halbleerer Flasche, die Drams wurden binnen 3 Tagen mit zunehmendem Flaschenkontakt zur Raumluft deutlich samtiger, süffiger und komplexer - am Anfang dominierten etwas einseitig Rauch und Schinken, wovon man sich aber nicht irritieren und zu einem vorschnellen Urteil verleiten lassen sollte."
6,6-15,24.07.2021,4.5,"L9262 CM004 - 23.06.2019 - 825513 - Sample aus halbleerer Flasche mit vollem Genuss: kräftiger, aber sehr harmonisch in das Gesamtgefüge sich eingliedender Schinkenrauch  - vermählt mit den Noten der Fässer und maritimen Eindrücken. Schnörkellos und perfekt.  L8325CM00700043505; bottled 31.10.2018, verkostet mit Freunden über einen Zeitraum von 3 Monaten.  Lagerfeuer und Schinkenrauch, sehr fein und nicht zu dominant, daneben Süsse mit Vanille und Karamell, mineralische Jod-Noten, Kräuter, Honig, Hauch von roten Früchten - cremig, ölig, mundauskleidend, später schöne Eichenwürz. TOLLES Islay-Erlebnis, gefällt mir etwas besser als der mehrfach parallel genossene Laphroaig 18yo! Knappe 5 Sterne, daher zur besseren Abbildung eines ""Mittelwert"" heute 4,5"
6,6-16,30.08.2014,5.0,Kommentar: Einer meiner absoluten Lieblinge
6,6-17,09.10.2015,5.0,"Aroma: kräftiger Rauch, etwas phenolisch; süß, Meeresaromen (Salz, Seetang), dunkle Früchte  Geschmack: intensiv, voll, komplex, rauchig, ölige weiche Süße  Abgang: lang, rauchig, trocken, würzig, Eiche, dunkle Schokolade, leichte Süße  Kommentar: Klassiker; einer der besten von der Insel Islay"
6,6-18,12.06.2018,4.0,
6,6-19,23.05.2020,5.0,"4,5 Sterne"
6,6-20,23.05.2020,4.0,"Aroma: <Rauch> <Lagerfeuer> <Schinken> <Früchte> <Maritime Noten> <Seetang> <Süße>  viel Rauch, Lagerfeuer, etwas geräucherter Schinken, Früchte, schnell wechselnd zu Maritime Noten mit Seetang, leichter Süße, Duft vom Ozean. Später etwas schwächer werdend  Geschmack: <Rauch> <Süße> <Gewürze> <Malz> <Maritime Noten> <Eiche> <Salz>  Auch hier Rauch und Süße, würzig, etwas malzig, auch hier Maritime Noten, Eiche kommt etwas zum Vorschein, salzig werdend, etwas Asche Geschmack  Abgang: <Rauch> <Süße> <Malz> <Nüsse> <Gewürze> <Eiche> <Salz>  Rauchig süß, etwas malzig nussig, würzig mit Eiche, ganz leicht salzig. Mittellang.  Kommentar:  leckerer Malt, jedoch finde ich die 16 jährige DE einen Tick besser. Dennoch vielschichtig und empfehlenswert"
6,6-21,09.08.2021,5.0,"Aroma: Asche <Rauch> <Medizinischer Rauch> etwas gummi <Schinken> <Maritime Noten> <Salz> <Jod> <Vanille> <Malz> <Getrocknete Früchte> <Leder>   Geschmack: <Süße> <Vanille> <Gewürze> <Rauch> <Medizinischer Rauch> Teer <Seetang> <Jod> <Maritime Noten> <Salz> <Malz> <Eiche>   Abgang: <Medizinischer Rauch> <Rauch> <Seetang> <Jod> <Orange> <Maritime Noten> <Schinken> <Eiche>   Kommentar: Immer wieder geil ! Wenn Sie das mit dem sch* Farbstoff mal lassen könnten wärens glatt 5*  so 4,5*."
6,6-22,25.10.2021,4.0,
6,6-23,17.11.2021,,Aroma: <Maritime Noten> <Rauch>   Geschmack: <Rauch> <Maritime Noten> <Getrocknete Früchte> <Süße>   Abgang: <Maritime Noten> <Rauch>   Kommentar:
